image_src,title,price,deal,shop,location
//g-search2.alicdn.com/img/bao/uploaded/i4/i2/2200676153815/O1CN01uHPWzR1e3JUhy0cyJ_!!0-item_pic.jpg,"【官方正品】TOM FORD汤姆福特男女朋友限量三色礼盒 唇膏
口红","¥
840.00",234人付款,tomford汤姆福特旗舰店,浙江 嘉兴
//g-search3.alicdn.com/img/bao/uploaded/i4/i1/3570503317/O1CN01WQ97i41aNEFt8VoT3_!!0-item_pic.jpg,"【超品预售】纪梵希禁忌之吻
口红
霓虹唇膏N11 滋润 官方正品","¥
320.00",3957人付款,givenchy纪梵希官方旗舰店,上海
//g-search2.alicdn.com/img/bao/uploaded/i4/i2/1087734489/O1CN01LI1eWZ1j20Rcp7hj6_!!0-item_pic.jpg,"卡姿兰
口红
女正品学生款哑光四岁故宫美国平价小众品牌套装法国","¥
98.00",23147人付款,卡姿兰宏达美景专卖店,北京
//g-search3.alicdn.com/img/bao/uploaded/i4/i4/857532066/O1CN01qwIRel1R8GmFA5iL7_!!0-item_pic.jpg,"卡婷长相思哑光仙鹤
口红
持久保湿防水不易脱色辣椒豆沙女国货正品","¥
89.90",47520人付款,卡婷旗舰店,广东 广州
//g-search2.alicdn.com/img/bao/uploaded/i4/i3/2522784574/O1CN01qhyrdM1jew6eBKrYx_!!2522784574.jpg,"正品大牌Dike Dior 迪可迪奥
口红
999哑光滋润保湿套装礼盒888 520","¥
168.00",3937人付款,优品易购贸易,福建 福州
//g-search1.alicdn.com/img/bao/uploaded/i4/i4/3527212490/O1CN01BV4Bnd1UGShuPuabo_!!0-item_pic.jpg,"【正品】阿玛尼黑管漆光唇釉 滋润保湿锦鲤色斩男色
口红
500/302","¥
310.00",3994人付款,阿玛尼美妆官方旗舰店,江苏 苏州
//g-search2.alicdn.com/img/bao/uploaded/i4/i3/4097766229/O1CN014DI2R01vsvb4DwNI5_!!0-item_pic.jpg,"HEDONE七宗罪唇釉唇蜜唇彩镜面嫉妒怪兽奶茶豆沙色小众
口红
李佳琦","¥
89.00",25748人付款,hedonefashionsnobs旗舰店,上海
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2920895043/O1CN01IrWlyT1n7jrie7UsM_!!2-item_pic.png,"sisley希思黎 魅惑
口红
裸色番茄色正红色 滋润显色 美唇护唇","¥
390.00",902人付款,sisley希思黎官方旗舰店,上海
//g-search2.alicdn.com/img/bao/uploaded/i4/i2/3375170974/O1CN01tNzRIU1J48GziP6Kd_!!0-item_pic.jpg,"完美日记持久保湿滋润
口红
唇膏女不易脱色小黑钻正品朱正廷同款","¥
79.90",95989人付款,perfectdiary旗舰店,广东 广州
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/1778358099/O1CN014iu3NP29hOEebY1sg_!!0-item_pic.jpg,"传奇今生红樱桃健康唇膏女
口红
官方正品专柜官网变色唇膜官方旗舰","¥
188.00",1611人付款,美航化妆品专营店,湖北 武汉
//g-search1.alicdn.com/img/bao/uploaded/i4/i4/743750137/O1CN01jqD0nJ1Csml9aECy6_!!0-item_pic.jpg,"美宝莲星钻小灯管唇膏
口红
玫瑰豆沙赤茶金鱼花火滋润抖音颜九新品","¥
109.00",52557人付款,美宝莲旗舰店,上海
//g-search2.alicdn.com/img/bao/uploaded/i4/i2/2414806177/O1CN01nGXRkf1vV70Iugko1_!!0-item_pic.jpg,"UKISS雾面丝绒哑光
口红
持久保湿不脱色防水孕妇豆沙女学生款唇膏","¥
44.00",79899人付款,ukiss旗舰店,上海
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/755579902/O1CN019VUs3A2N1ALeyfOwG_!!0-item_pic.jpg,"乐华七子卡姿兰小红唇
口红
女唇膏学生款南瓜色枫叶红奶茶色豆沙色","¥
129.00",11647人付款,卡姿兰官方旗舰店,广东 广州
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3570503317/O1CN01KQBTOB1aNEE3PqbTh_!!0-item_pic.jpg,"【官方正品】纪梵希
口红
禁忌之吻漆光唇膏变色
口红
滋润","¥
320.00",595人付款,givenchy纪梵希官方旗舰店,上海
